eligibility_rule_item_id,eligibility_rule_set_id,ordinal,scope_type,include_or_exclude,category_code,category_name_raw,major_code,major_name_raw,condition_raw
ELIGITEM-2d4c7fe0-3dcd-5478-874b-3665c873279e,ELIGSET-63d9ac6d-3300-52bb-ac01-a861568755f7,2,major_category,include,,电子与信息大类,,,
ELIGITEM-f8161343-95d5-52ca-b45d-491a212ced65,ELIGSET-63d9ac6d-3300-52bb-ac01-a861568755f7,3,major_category,include,,装备制造大类,,,
ELIGITEM-50ffd569-0584-5f67-a339-7689d512c428,ELIGSET-63d9ac6d-3300-52bb-ac01-a861568755f7,4,major_category,include,,生物与化工大类,,,
ELIGITEM-ad27804e-dc3e-5335-ba83-24c505af23ac,ELIGSET-63d9ac6d-3300-52bb-ac01-a861568755f7,5,major_category,include,,医药卫生大类,,,
ELIGITEM-aee792b7-8841-5d18-885a-1072cae863db,ELIGSET-63d9ac6d-3300-52bb-ac01-a861568755f7,6,major_category,include,,能源动力与材料大类,,,
ELIGITEM-054a26ad-dff0-5407-832d-dc7b1b028941,ELIGSET-67dbbd20-3fd6-5920-8e9e-8ccf673b7589,1,major_category,include,,食品药品与粮食大类,,,
ELIGITEM-b076a74c-485b-5500-bb7b-4796071a6dd1,ELIGSET-67dbbd20-3fd6-5920-8e9e-8ccf673b7589,2,major_category,include,,生物与化工大类,,,
ELIGITEM-769e0078-d529-579b-a3db-33bfa8a983db,ELIGSET-67dbbd20-3fd6-5920-8e9e-8ccf673b7589,3,major_category,include,,医药卫生大类,,,
ELIGITEM-7113487d-2e2a-5dc8-99f7-b95aba7eb5bb,ELIGSET-6d1a2697-ef56-591a-b9ee-2a2183627087,1,major_category,include,,电子与信息大类,,,
ELIGITEM-e41f53c7-de07-5206-86a6-d74e201e85c5,ELIGSET-6d1a2697-ef56-591a-b9ee-2a2183627087,2,major_category,include,,装备制造大类,,,
ELIGITEM-cc2e3a4f-be9c-56f2-93be-6d1d62bc957a,ELIGSET-6d1a2697-ef56-591a-b9ee-2a2183627087,3,major_category,include,,交通运输大类,,,
ELIGITEM-d2027e0e-b6d4-52f6-81d1-5104c0d7366b,ELIGSET-6d1a2697-ef56-591a-b9ee-2a2183627087,4,major_category,include,,土木建筑大类,,,
ELIGITEM-64c1f250-0e09-5219-95cb-901696b4a6e3,ELIGSET-6dd27dd2-a91d-5f19-bf50-c8627143726b,1,major_category,include,,财经商贸大类,,,
ELIGITEM-f05b6ba3-f61e-5c1f-9258-e7b3d72c5440,ELIGSET-6dd27dd2-a91d-5f19-bf50-c8627143726b,2,major_category,include,,电子与信息大类,,,
ELIGITEM-a9b53144-b94e-5d33-87ac-b6e47bcdb74c,ELIGSET-6dd27dd2-a91d-5f19-bf50-c8627143726b,3,major_category,include,,旅游大类,,,
ELIGITEM-c4da276d-1335-589e-8edb-1e1353873ea9,ELIGSET-6dd27dd2-a91d-5f19-bf50-c8627143726b,4,major_category,include,,公共管理与服务大类,,,
ELIGITEM-cb00d52f-a31d-5b35-b583-b3ffcb3d349a,ELIGSET-73ecc2d6-ea34-58ed-8cd9-96d4631d22e0,1,major_category,include,,电子与信息大类,,,
ELIGITEM-7f9f7c2f-e35a-5432-8d7c-76dc1ab58aba,ELIGSET-74e020ea-e418-5888-a939-04aa57a209c0,1,major_category,include,,新闻传播大类,,,
ELIGITEM-5289a08a-6cb9-5275-a003-015b0733d390,ELIGSET-74e020ea-e418-5888-a939-04aa57a209c0,2,major_category,include,,电子信息大类,,,限于计算机网络技术、数字媒体技术、人工智能技术应用3个专业
ELIGITEM-505d8cd2-7aeb-567c-a69b-d99df0d0475a,ELIGSET-74e020ea-e418-5888-a939-04aa57a209c0,3,major_category,include,,文化艺术大类,,,限于视觉传达设计、广告艺术设计、数字媒体艺术设计、图书档案管理4个专业
